iter	Passed	Remaining
245	14333	43933
246	14382	43846
247	14433	43767
248	14487	43696
249	14553	43661
250	14611	43602
251	14668	43541
252	14731	43495
253	14789	43437
254	14859	43413
255	14915	43348
256	14966	43268
257	15020	43198
258	15069	43114
259	15115	43021
260	15165	42940
261	15213	42853
262	15262	42768
263	15311	42686
264	15359	42601
265	15410	42523
266	15463	42451
267	15526	42408
268	15584	42350
269	15646	42302
270	15707	42254
271	15759	42178
272	15823	42137
273	15873	42058
274	15940	42025
275	15991	41947
276	16040	41866
277	16089	41787
278	16138	41704
279	16189	41630
280	16239	41553
281	16292	41481
282	16350	41425
283	16410	41373
284	16469	41317
285	16525	41256
286	16587	41208
287	16643	41145
288	16690	41062
289	16738	40980
290	16786	40899
291	16839	40830
292	16886	40745
293	16934	40665
294	16985	40591
295	17035	40515
296	17097	40469
297	17154	40411
298	17213	40355
299	17268	40292
300	17333	40253
301	17402	40222
302	17468	40182
303	17526	40126
304	17572	40042
305	17619	39960
306	17668	39884
307	17714	39800
308	17763	39722
309	17811	39645
310	17860	39569
311	17912	39498
312	17965	39431
313	18023	39375
314	18183	39541
315	18246	39495
316	18306	39443
317	18379	39417
318	18441	39369
319	18510	39335
320	18575	39291
321	18640	39250
322	18695	39184
323	18754	39130
324	18810	39067
325	18858	38989
326	18908	38915
327	18958	38842
328	19010	38772
329	19058	38695
330	19108	38621
331	19159	38548
332	19206	38470
333	19255	38395
334	19329	38370
335	19388	38316
336	19445	38255
337	19491	38175
338	19541	38103
339	19588	38024
340	19637	37949
341	19695	37893
342	19759	37847
343	19818	37793
344	19881	37745
345	19936	37682
346	19998	37633
347	20055	37574
348	20103	37500
349	20150	37421
350	20200	37350
351	20248	37275
352	20299	37205
353	20350	37136
354	20396	37059
355	20446	36988
356	20497	36917
357	20549	36851
358	20612	36803
359	20671	36748
360	20732	36697
361	20794	36649
362	20847	36584
363	20898	36515
364	20947	36442
365	20995	36368
366	21042	36294
367	21093	36225
368	21143	36156
369	21195	36090
370	21240	36012
371	21295	35949
372	21358	35902
373	21423	35859
374	21479	35799
375	21541	35750
376	21599	35694
377	21644	35615
378	21691	35541
379	21741	35472
380	21791	35403
381	21859	35363
382	21920	35313
383	21978	35257
384	22023	35179
385	22074	35113
386	22125	35045
387	22174	34975
388	22223	34907
389	22276	34843
390	22341	34797
391	22400	34743
392	22464	34697
393	22526	34647
394	22574	34575
395	22621	34504
396	22675	34441
397	22769	34440
398	22877	34460
399	22951	34426
400	23020	34387
401	23093	34352
402	23161	34311
403	23221	34257
404	23286	34211
405	23341	34150
406	23398	34091
407	23448	34023
408	23496	33952
409	23550	33889
410	23612	33838
411	23666	33776
412	23727	33723
413	23793	33679
414	23848	33618
415	23893	33543
416	23942	33472
417	23990	33403
418	24037	33331
419	24086	33262
420	24137	33195
421	24188	33130
422	24249	33077
423	24308	33022
424	24371	32973
425	24428	32915
426	24477	32846
427	24524	32776
428	24572	32706
429	24623	32640
430	24671	32570
431	24718	32500
432	24766	32431
433	24825	32375
434	24886	32323
435	24948	32272
436	25005	32215
437	25061	32157
438	25111	32090
439	25161	32024
440	25212	31958
441	25259	31888
442	25309	31822
443	25368	31768
444	25432	31718
445	25492	31665
446	25552	31611
447	25607	31552
448	25660	31490
449	25711	31425
450	25759	31357
451	25805	31286
452	25856	31222
453	25904	31154
454	25952	31086
455	26011	31031
456	26068	30974
457	26130	30922
458	26187	30866
459	26242	30806
460	26289	30738
461	26342	30675
462	26393	30611
463	26444	30548
464	26497	30486
465	26548	30422
466	26610	30371
467	26668	30315
468	26727	30260
469	26791	30212
470	26842	30147
471	26890	30080
472	26940	30016
473	26989	29950
474	27057	29905
475	27117	29851
476	27173	29794
477	27221	29727
478	27271	29662
479	27321	29598
480	27372	29534
481	27424	29473
482	27486	29421
483	27541	29362
484	27606	29313
485	27663	29257
486	27722	29202
487	27772	29138
488	27820	29072
489	27872	29010
490	27928	28952
491	27987	28897
492	28081	28879
493	28218	28904
494	28327	28899
495	28388	28846
496	28441	28785
497	28492	28721
498	28537	28651
499	28585	28585
500	28634	28519
501	28681	28452
502	28728	28386
503	28783	28326
504	28841	28270
505	28889	28204
506	28947	28148
507	29002	28088
508	29060	28032
509	29109	27968
510	29160	27905
511	29209	27840
512	29261	27778
513	29309	27712
514	29361	27651
515	29410	27586
516	29472	27533
517	29530	27477
518	29584	27418
519	29644	27363
520	29694	27300
521	29742	27235
522	29789	27169
523	29839	27106
524	29890	27043
525	29941	26981
526	29989	26916
527	30040	26854
528	30097	26797
529	30158	26744
530	30214	26686
531	30273	26631
532	30321	26567
533	30372	26504
534	30422	26441
535	30465	26373
536	30516	26311
537	30567	26249
538	30615	26184
539	30677	26132
540	30729	26071
541	30788	26016
542	30847	25961
543	30900	25901
544	30944	25834
545	30989	25767
546	31035	25701
547	31085	25639
548	31138	25579
549	31191	25520
550	31246	25462
551	31314	25414
552	31383	25367
553	31442	25312
554	31497	25254
555	31549	25193
556	31599	25132
557	31649	25070
558	31698	25006
559	31739	24938
560	31802	24886
561	31860	24830
562	31913	24771
563	31971	24715
564	32028	24658
565	32078	24597
566	32129	24536
567	32193	24485
568	32254	24431
569	32308	24373
570	32354	24308
571	32410	24251
572	32456	24186
573	32506	24125
574	32554	24061
575	32601	23998
576	32645	23932
577	32694	23870
578	32742	23807
579	32801	23752
580	32928	23746
581	33028	23721
582	33119	23689
583	33181	23636
584	33254	23590
585	33299	23525
586	33352	23466
587	33416	23414
588	33467	23353
589	33517	23291
590	33562	23227
591	33609	23162
592	33660	23102
593	33707	23039
594	33750	22972
595	33799	22911
596	33847	22848
597	33907	22794
598	33961	22735
599	34027	22685
600	34084	22628
601	34145	22574
602	34198	22515
603	34261	22462
604	34318	22406
605	34366	22343
606	34408	22277
607	34458	22216
608	34498	22149
609	34544	22085
610	34588	22021
611	34640	21961
612	34688	21899
613	34738	21838
614	34789	21778
615	34838	21717
616	34891	21659
617	34952	21604
618	35007	21547
619	35068	21493
620	35129	21439
621	35187	21384
622	35241	21325
623	35300	21270
624	35347	21208
625	35399	21149
626	35448	21088
627	35496	21026
628	35548	20967
629	35598	20907
630	35647	20846
631	35689	20781
632	35733	20717
633	35787	20659
634	35845	20604
635	35903	20548
636	35956	20490
637	36018	20436
638	36079	20382
639	36150	20334
640	36205	20277
641	36266	20223
642	36313	20161
643	36378	20109
644	36427	20049
645	36470	19985
646	36528	19929
647	36572	19866
648	36617	19803
649	36663	19741
650	36709	19680
651	36758	19619
652	36809	19560
653	36853	19497
654	36894	19432
655	36937	19369
656	36978	19305
657	37027	19245
658	37090	19192
659	37156	19141
660	37216	19087
661	37266	19027
662	37318	18968
663	37390	18920
664	37455	18868
665	37513	18812
666	37639	18791
667	37707	18740
668	37759	18682
669	37812	18624
670	37859	18562
671	37915	18506
672	37967	18447
673	38025	18392
674	38083	18336
675	38138	18279
676	38192	18221
677	38239	18160
678	38281	18097
679	38332	18039
680	38389	17982
681	38461	17933
682	38513	17875
683	38571	17819
684	38629	17763
685	38687	17708
686	38748	17653
687	38804	17597
688	38854	17538
689	38909	17480
690	38954	17419
691	38996	17356
692	39079	17312
693	39126	17251
694	39176	17192
695	39220	17130
696	39267	17070
697	39308	17007
698	39351	16945
699	39397	16884
700	39441	16823
701	39489	16763
702	39543	16706
703	39599	16649
704	39652	16592
705	39705	16534
706	39757	16476
707	39809	16418
708	39857	16358
709	39913	16302
710	39973	16248
711	40025	16190
712	40079	16132
713	40132	16075
714	40181	16016
715	40241	15961
716	40290	15902
717	40340	15843
718	40407	15792
719	40459	15734
720	40513	15677
721	40567	15620
722	40614	15560
723	40663	15501
724	40713	15442
725	40753	15380
726	40803	15322
727	40850	15262
728	40895	15202
729	40946	15144
730	40997	15086
731	41046	15027
732	41090	14967
733	41140	14909
734	41182	14848
735	41231	14789
736	41273	14728
737	41315	14667
738	41369	14610
739	41422	14553
740	41477	14497
741	41535	14442
742	41590	14386
743	41646	14330
744	41706	14275
745	41757	14217
746	41806	14159
747	41857	14101
748	41904	14042
749	42035	14011
750	42101	13959
751	42144	13898
752	42206	13844
753	42255	13786
754	42309	13729
755	42359	13671
756	42418	13616
757	42469	13558
758	42520	13501
759	42571	13443
760	42619	13385
761	42670	13327
762	42713	13267
763	42765	13210
764	42825	13155
765	42874	13097
766	42931	13041
767	42984	12984
768	43039	12928
769	43101	12874
770	43150	12816
771	43194	12757
772	43245	12699
773	43309	12645
774	43365	12589
775	43422	12534
776	43475	12477
777	43528	12420
778	43585	12364
779	43640	12308
780	43697	12253
781	43753	12197
782	43813	12142
783	43850	12081
784	43892	12021
785	43942	11963
786	43985	11904
787	44025	11844
788	44078	11787
789	44127	11730
790	44174	11671
791	44221	11613
792	44263	11554
793	44311	11496
794	44355	11437
795	44408	11381
796	44456	11323
797	44517	11268
798	44563	11210
799	44622	11155
800	44676	11099
801	44725	11042
802	44782	10986
803	44831	10929
804	44885	10872
805	44945	10818
806	44984	10758
807	45026	10699
808	45069	10640
809	45120	10583
810	45163	10525
811	45204	10466
812	45249	10407
813	45300	10351
814	45344	10292
815	45397	10236
816	45437	10177
817	45482	10119
818	45524	10061
819	45573	10003
820	45632	9949
821	45683	9892
822	45736	9836
823	45784	9779
824	45834	9722
825	45898	9668
826	45949	9612
827	45997	9554
828	46040	9496
829	46090	9440
830	46132	9381
831	46181	9325
832	46224	9267
833	46267	9209
834	46351	9159
835	46442	9110
836	46495	9054
837	46548	8998
838	46607	8943
839	46653	8886
840	46705	8830
841	46757	8773
842	46811	8718
843	46862	8661
844	46905	8603
845	46948	8546
846	47000	8489
847	47046	8432
848	47088	8374
849	47133	8317
850	47180	8260
851	47226	8203
852	47273	8146
853	47326	8090
854	47380	8035
855	47432	7979
856	47483	7923
857	47545	7868
858	47598	7813
859	47654	7757
860	47717	7703
861	47775	7648
862	47831	7593
863	47883	7537
864	47934	7481
865	47980	7424
866	48033	7368
867	48084	7312
868	48131	7255
869	48176	7198
870	48221	7141
871	48264	7084
872	48318	7029
873	48376	6974
874	48422	6917
875	48476	6861
876	48532	6806
877	48588	6751
878	48636	6695
879	48682	6638
880	48725	6581
881	48769	6524
882	48814	6468
883	48864	6412
884	48906	6355
885	48948	6298
886	48990	6241
887	49035	6184
888	49097	6130
889	49151	6074
890	49202	6019
891	49256	5963
892	49307	5908
893	49359	5852
894	49406	5796
895	49448	5739
896	49495	5683
897	49545	5627
898	49587	5570
899	49631	5514
900	49675	5458
901	49717	5401
902	49759	5345
903	49806	5289
904	49863	5234
905	49917	5179
906	49968	5123
907	50023	5068
908	50076	5013
909	50137	4958
910	50187	4903
911	50231	4846
912	50275	4790
913	50321	4734
914	50364	4678
915	50408	4622
916	50459	4567
917	50514	4512
918	50565	4456
919	50620	4401
920	50730	4351
921	50785	4296
922	50845	4241
923	50886	4185
924	50939	4130
925	50993	4075
926	51047	4019
927	51093	3964
928	51140	3908
929	51185	3852
930	51231	3796
931	51274	3741
932	51317	3685
933	51370	3630
934	51421	3574
935	51473	3519
936	51517	3463
937	51568	3408
938	51615	3353
939	51661	3297
940	51703	3241
941	51748	3186
942	51806	3131
943	51856	3076
944	51909	3021
945	51948	2965
946	51996	2910
947	52041	2854
948	52086	2799
949	52131	2743
950	52191	2689
951	52249	2634
952	52300	2579
953	52343	2523
954	52390	2468
955	52438	2413
956	52489	2358
957	52544	2303
958	52597	2248
959	52645	2193
960	52695	2138
961	52746	2083
962	52799	2028
963	52862	1974
964	52919	1919
965	52967	1864
966	53020	1809
967	53072	1754
968	53120	1699
969	53172	1644
970	53226	1589
971	53275	1534
972	53320	1479
973	53366	1424
974	53414	1369
975	53466	1314
976	53520	1259
977	53572	1205
978	53615	1150
979	53659	1095
980	53703	1040
981	53751	985
982	53802	930
983	53856	875
984	53908	820
985	53951	766
986	53994	711
987	54051	656
988	54106	601
989	54155	547
990	54200	492
991	54241	437
992	54288	382
993	54341	328
994	54393	273
995	54436	218
996	54480	163
997	54522	109
998	54574	54
999	54629	0
